eop_scientificname_verbatim,scientificname_verbatim,type_locality,habitat,notes
Aldisa cooperi,Aldisa cooperi,,,
Aldisa sanguinea,Aldisa sanguinea,,,
Aldisa tara,Aldisa tara,,,
Alepas pacifica,Alepas pacifica,,,
Algamorda subrotundata,Algamorda subrotundata,,,
Alia carinata,Alia carinata,,,
Alia gausapata,Alia gausapata,,,
Alia permodesta,Alia permodesta,,,
Alia tuberosa,Alia tuberosa,,,
Alienacanthomysis macropsis,Alienacanthomysis macropsis,,,
Allocentrotus fragilis,Allocentrotus fragilis,,,
Allogaussia recondita,Allogaussia recondita,,,
Alloniscus perconvexus,Alloniscus perconvexus,,,
Stylantheca petrograpta,Stylantheca petrograpta,,,
Stylaster porphyra,Stylantheca papillosa,,,
Stylaster venustus,Stylaster venustus,,,
Allopora verrillii,Allopora verrillii,,,
Allorchestes,Allorchestes,,,
Allorchestes angusta,Allorchestes angusta,,,
Allorchestes bellabella,Allorchestes bellabella,,,
Alvania carpenteri,Alvania carpenteri,,,
Alvania compacta,Alvania compacta,,,
Alvania sanjuanensis,Alvania sanjuanensis,,,
Amaeana occidentalis,Amaeana occidentalis,,,
Amage anops,Amage anops,,,
Amauropsis purpurea,Amauropsis purpurea,,,
Amblyops abbreviata,Amblyops abbreviata,,,
Amblyosyllis sp.,Amblyosyllis,,,
Americanaplana fernaldi,Americanaplana fernaldi,,,
Ammothea hilgendorfi,Ammothea hilgendorfi,,,
Ammothella tuberculata,Ammothella tuberculata,,,
Ammothella sp.,Ammothella,,,
Ampelisca agassizi,Ampelisca agassizi,,,
Ampelisca brevisimulata,Ampelisca brevisimulata,,,
Ampelisca careyi,Ampelisca careyi,,,
Ampelisca cristata,Ampelisca cristata,,,
Ampelisca fageri,Ampelisca fageri,,,
Ampelisca hancocki,Ampelisca hancocki,,,
Ampelisca lobata,Ampelisca lobata,,,
Ampelisca pugetica,Ampelisca pugetica,,,
Ampelisca unsocalae,Ampelisca unsocalae,,,
Amperima rosea,Amperima rosea,,deep,
Amperima sp.,Amperima,,deep,
Ampharete acutifrons,Ampharete acutifrons,,,
Ampharete finmarchica,Ampharete finmarchica,,,
Ampharete goesi subsp. brazhnikovi,Ampharete goesi brazhnikovi,,,
Ampharete goesi subsp. goesi,Ampharete goesi goesi,,,
Ampharete labrops,Ampharete labrops,,,
Ampheraster chiroplus,Ampheraster chiroplus,,deep,
Ampheraster marianus,Ampheraster marianus,,deep,
Amphichaeta sp.,Amphichaeta,,,
Amphicteis glabra,Amphicteis glabra,,,
Amphicteis mucronata,Amphicteis mucronata,,,
Amphicteis scaphobranchiata,Amphicteis scaphobranchiata,,,
Amphilepis patens,Amphilepis patens,,deep,
Amphilochus litoralis,Amphilochus litoralis,,,
Amphilochus neapolitanus,Amphilochus neapolitanus,,,
Amphilochus picadurus,Amphilochus picadurus,,,
Amphinema platyhedos,Amphinema platyhedos,,,
Amphiodia occidentalis,Amphiodia occidentalis,,,
Amphiodia periercta,Amphiodia periercta,,,
Amphiodia urtica,Amphiodia urtica,,,
Amphiophiura bullata subsp. pacifica,Amphiophiura bullata pacifica,,deep,
Stegophiura ponderosa,Stegophiura ponderosa,,,eop with different genus
Amphiophiura superba,Amphiophiura superba,,deep,
Amphioplus macraspis,Amphioplus macraspis,,,
Amphioplus strongyloplax,Amphioplus strongyloplax,,,
Amphipholis pugetana,Amphipholis pugetana,,,
Amphipholis squamata,Amphipholis squamata,,,
Amphiporus angulatus,Amphiporus angulatus,,,
Amphiporus bimaculatus,Amphiporus bimaculatus,,,
Amphiporus cruentatus,Amphiporus cruentatus,,,
Amphiporus formidabilis,Amphiporus formidabilis,,,
Amphiporus imparispinosus,Amphiporus imparispinosus,,,
Amphiporus rubellus,Amphiporus rubellus,,,
Amphiporus tigrinus,Amphiporus tigrinus,,,
Amphisamytha bioculata,Amphisamytha bioculata,,,
Amphissa columbiana,Amphissa columbiana,,,
Amphissa reticulata,Amphissa reticulata,,,
Amphissa versicolor,Amphissa versicolor,,,
Amphitrite cirrata,Amphitrite cirrata,,,
Amphiura carchara,Amphiura carchara,,deep,
Amphiura diomedeae,Amphiura diomedeae,,deep,
Amphiura polyacantha,Amphiura polyacantha,,deep,
Ampithoe dalli,Ampithoe dalli,,,
Ampithoe lacertosa,Ampithoe lacertosa,,,
Ampithoe plumulosa,Ampithoe plumulosa,,,
Ampithoe sectimanus,Ampithoe sectimanus,,,
Ampithoe simulans,Ampithoe simulans,,,
Ampithoe valida,Ampithoe valida,,,
Clathria brepha,Clathria brepha,,,
Anaata spongigartina,Anaata spongigartina,,,
Anatoma baxteri,Anatoma baxteri,,,
Anatoma crispata,Anatoma crispata,,,
Ancula pacifica,Ancula pacifica,,,
Angulosaccus tenuis,Angulosaccus tenuis,,,
Anisodoris lentiginosa,Anisodoris lentiginosa,,,
Anisodoris nobilis,Anisodoris nobilis,,,
Anisogammarus pugettensis,Anisogammarus pugettensis,,,
Anobothrus gracilis,Anobothrus gracilis,,,
Anonyx laticoxae,Anonyx laticoxae,,,
Anonyx lilljeborgi,Anonyx lilljeborgi,,,
Anoplodactylus erectus,Anoplodactylus erectus,,,
Anoplodactylus viridintestinalis,Anoplodactylus viridintestinalis,,,
Anoplodium hymanae,Anoplodium hymanae,,,
Antedon sp.,Antedon,,deep,
Anteliaster coscinactis,Anteliaster coscinactis,,deep,
Anteliaster megatretus,Anteliaster megatretus,,deep,
Anthessius nortoni,Anthessius nortoni,,,
Antho graceae,Antho graceae,,,
Anthopleura artemisia,Anthopleura artemisia,,,
Anthopleura elegantissima,Anthopleura elegantissima,,,
Anthopleura xanthogrammica,Anthopleura xanthogrammica,,,
Anthoptilum grandiflorum,Anthoptilum grandiflorum,,,
Anthothela pacifica,Anthothela pacifica,,,
Bylgides macrolepidus,Bylgides macrolepidus,,,
Antipathes sp.,Antipathes,,,
Antiplanes thalea,Antiplanes thalea,,,
Spirotropis perversa,Antiplanes catalinae,,,syn and gen transfer
Antiplanes voyi,Antiplanes voyi,,,
Aoroides columbiae,Aoroides columbiae,,,
Aoroides exilis,Aoroides exilis,,,
Aoroides inermis,Aoroides inermis,,,
Aoroides intermedius,Aoroides intermedius,,,
Aoroides spinosus,Aoroides spinosus,,,
Aphrocallistes vastus,Aphrocallistes vastus,,,
Aphrodita japonica,Aphrodita japonica,,,
Aphrodita longipalpa,Aphrodita longipalpa,,,
Aphrodita negligens,Aphrodita negligens,,,
Aphrodita parva,Aphrodita parva,,,
Aphrodita refulgida,Aphrodita refulgida,,,
Apistobranchus ornatus,Apistobranchus ornatus,,,
Apistobranchus tullbergi,Apistobranchus tullbergi,,,
Aplidium arenatum,Aplidium arenatum,,,
Aplidium californicum,Aplidium californicum,,,
Aplidium glabrum,Aplidium glabrum,,,
Aplidium propinquum,Aplidium propinquum,,,
Aplidium solidum,Aplidium solidum,,,
Aplidium sp.,Aplidium,,,
Aplysilla glacialis,Aplysilla glacialis,,,
Aplysilla polyraphis ,Aplysilla polyraphis ,,,
Aplysiopsis smithi,Aplysiopsis smithi,,,
Apomatus geniculatus,Apomatus geniculatus,,,
Apomatus timmsii,Apomatus timmsii,,,
Arabella iricolor,Arabella iricolor,,,
Arabella semimaculata,Arabella semimaculata,,,
Archaeomysis grebnitzkii,Archaeomysis grebnitzkii,,,
Archidistoma molle,Archidistoma molle,,,
Archidistoma psammion,Archidistoma psammion,,,
Archidistoma ritteri,Archidistoma ritteri,,,
Archidistoma sp.,Archidistoma,,,
Archidoris montereyensis,Archidoris montereyensis,,,
Archidoris odhneri,Archidoris odhneri,,,
Architeuthis japonica,Architeuthis japonica,,,
Arctomelon stearnsii,Arctomelon stearnsii,,,
Arctonoe fragilis,Arctonoe fragilis,,,
Arctonoe pulchra,Arctonoe pulchra,,,
Arctonoe vittata,Arctonoe vittata,,,
Arenicola marina,Arenicola marina,,,
Argeia pugettensis,Argeia pugettensis,,,
Argilloecia conoidea,Argilloecia conoidea,,,
Argilloecia cylindrica,Argilloecia cylindrica,,,
Arginula bella,Arginula bella,,,
Argis alaskensis,Argis alaskensis,,,
Argis crassa,Argis crassa,,,
Argis dentata,Argis dentata,,,
Argis lar,Argis lar,,,
Argis levior,Argis levior,,,
Argissa hamatipes,Argissa hamatipes,,,
Argulus borealis,Argulus borealis,,,
Argulus pugettensis,Argulus pugettensis,,,
Arhynchite pugettensis,Arhynchite pugettensis,,,
Aricidea assimilis,Aricidea assimilis,,,
Aricidea lopezi,Aricidea lopezi,,,
Aricidea minuta,Aricidea minuta,,,
Aricidea neosuecica,Aricidea neosuecica,,,
Aricidea quadrilobata,Aricidea quadrilobata,,,
Aricidea ramosa,Aricidea ramosa,,,
Aricidea wassi,Aricidea wassi,,,
Aristias pacificus,Aristias pacificus,,,
Armadillidium vulgare,Armadillidium vulgare,,,
Armadilloniscus holmesi,Armadilloniscus holmesi,,,
Armandia brevis,Armandia brevis,,,
Armina californica,Armina californica,,,
Hymenacora,Hymenancora,,,
Artacama conifera,Artacama conifera,,,
Arthrophryxus beringanus,Arthrophryxus beringanus,,,
Asabellides lineata,Asabellides lineata,,,
Asabellides sibirica,Asabellides sibirica,,,
Asbestopluma occidentalis,Asbestopluma occidentalis,,,
Ascidia callosa,Ascidia callosa,,,
Ascidia ceratodes,Ascidia ceratodes,,,
Ascidia paratropa,Ascidia paratropa,,,
Ascidia prunum,Ascidia prunum,,,N'n
Asclerocheilus beringianus,Asclerocheilus beringianus,,,
Assiminea californica,Assiminea californica,,,
Astarte compacta,Astarte compacta,,,
Astarte undata,Astarte undata,,,
Astarte esquimalti,Astarte esquimalti,,,
Asterina miniata,Asterina miniata,,,
Asteronyx loveni,Asteronyx loveni,,deep,
Asteropella sp.,Asteropella,,,
Asteroschema sublaeve,Asteroschema sublaeve,,deep,
Asthenactis fisheri,Asthenactis fisheri,,deep,
Lithopoma gibberosa,Lithopoma gibberosa,,,
Astrocles actinodetus,Astrocles actinodetus,,deep,
Astrolirus panamensis,Astrolirus panamensis,,deep,
Asychis biceps ,Asychis biceps ,,,
Asychis disparidentata,Asychis disparidentata,,,
Asychis lacera,Asychis lacera,,,
Asychis similis,Asychis similis,,,
Atlanta gaudichaudi,Atlanta gaudichaudi,,,misspelled in Koz
Atylus collingi,Atylus collingi,,,
Atylus levidensus,Atylus levidensus,,,
Atylus tridens,Atylus tridens,,,
Aulactinia incubans,Aulactinia incubans,,,
Aurelia aurita,Aurelia aurita,,,
Aurelia limbata,Aurelia limbata,,,
Austrorhynchus californicus,Austrorhynchus californicus,,,
Austrorhynchus pacificus,Austrorhynchus pacificus,,,
Proceraea cornuta,Proceraea cornuta,,,
Proceraea fasciata,Proceraea fasciata,,,
Autolytus magnus ,Autolytus magnus ,,,
Proceraea prismatica,Proceraea prismatica,,,
Autolytus trilineatus,Autolytus trilineatus,,,
Autolytus verrilli,Autolytus verrilli,,,
Axinella sp.,Axinella,,,
Axinopsida serricata,Axinopsida serricata,,,
Axinulus redondoensis,Axinulus redondoensis,,,"ITIS and Koz have as thyasirid, but only a galeommatid in WoRMS: Aligena redondoensis T. Burch, 1941; Oregon & S"
Calocarides spinulicauda,Calocarides spinulicauda,,,
Axiothella rubrocincta,Axiothella rubrocincta,,,
Clathria originalis,Clathria originalis,,,
Aktedrilus labeosus,Aktedrilus labeosus,,,
Baeonectes improvisus,Baeonectes improvisus,,,
Balanus balanus,Balanus balanus,,,
Balanus crenatus,Balanus crenatus,,,
Balanus glandula,Balanus glandula,,,
Balanus improvisus,Balanus improvisus,,,
Balanus nubilus,Balanus nubilus,,,
Balanus rostratus,Balanus rostratus,,,
Balcis columbiana,Vitreolina columbiana,,,
Balcis montereyensis,Melanella montereyensis,,,
Balgetia pacifica,Balgetia pacifica,,,
Balticina californica,Halipteris californica,,,syn confirmed by Gary Williams
Balticina septentrionalis,Balticina septentrionalis,,,
Bankia setacea,Bankia setacea,,,
Barantolla americana,Barantolla americana,,,
Barentsia benedeni,Barentsia benedeni,,,
Barentsia gracilis,Barentsia gracilis,,,
Barentsia misakiensis,Barentsia misakiensis,,,
Barentsia ramosa,Barentsia ramosa,,,
Barentsia robusta,Barentsia robusta,,,
Barleeia acuta,Barleeia acuta,,,
Barleeia haliotiphila,Barleeia haliotiphila,,,
Barleeia subtenuis,Barleeia subtenuis,,,
Barnea subtruncata,Barnea subtruncata,,,
Baseodiscus princeps,Baseodiscus princeps,,,
Bathyarca nucleator,Bathyarca nucleator,,deep,
Bathybembix bairdii,Bathybembix bairdii,,,
Bathycrinus pacificus,Bathycrinus pacificus,,deep,
Bathycuma,Bathycuma,,,
Bathydrilus litoreus,Bathydrilus litoreus,,,
Bathydrilus torosus,Bathydrilus torosus,,,
Bathyleberis sp.,Bathyleberis,,,
Bathymedon flebilis,Bathymedon flebilis,,,
Bathymedon pumilus,Bathymedon pumilus,,,
Bathypera ovoida,Bathypera ovoida,,,
Batillaria zonalis,Batillaria zonalis,,,
Batillipes mirus,Batillipes mirus,,,
Bentheogennema borealis,Bentheogennema borealis,,,
Bentheogennema burkenroadi,Bentheogennema burkenroadi,,,
Benthoctopus abruptus,Benthoctopus abruptus,,,
Benthoctopus profundum,Benthoctopus profundum,,,
Benthodytes incerta,Benthodytes incerta,,deep,
Benthodytes sanguinolenta,Benthodytes sanguinolenta,,deep,
Benthopecten acanthonotus,Benthopecten acanthonotus,,deep,
Benthopecten claviger,Benthopecten claviger,,deep,
Benthopecten mutabilis,Benthopecten mutabilis,,deep,
Beringius crebricostatus,Beringius crebricostatus,,,
Beringius eyerdami,Beringius eyerdami,,,
Beringius kennicotti,Beringius kennicotti,,,
Beroe abyssicola,Beroe abyssicola,,,
Beroe cucumis,Beroe cucumis,,,
Beroe sp.,Beroe,,,
Berryteuthis anonychus ,Berryteuthis anonychus ,,,
Berryteuthis magister,Berryteuthis magister,,,
Berthella californica,Berthella californica,,,
Betaeus harrimani,Betaeus harrimani,,,
Betaeus setosus,Betaeus setosus,,,
Betapista dekkerae,Betapista dekkerae,,,
Bicidium aequoreae,Bicidium aequoreae,,,Pelagic
Bicrisia edwardsiana,Bicrisia edwardsiana,,,
Biemna rhadia,Biemna rhadia,,,
Bimeria spp.,Bimeria,,,
Bittium attenuatum,Bittium attenuatum,,,
Bittium eschrichtii,Bittium eschrichtii,,,
Bittium munitum,Bittium munitum,,,
Bolinopsis infundibulum,Bolinopsis infundibulum,,,
Boltenia echinata,Boltenia echinata,,,
Boltenia villosa,Boltenia villosa,,,
Bonneviella spp,Bonneviella spp,,,
Bopyroides hippolytes,Bopyroides hippolytes,,,
Botryllus sp,Botryllus sp,,,
Bougainvillia principis,Bougainvillia principis,,,
Bougainvillia muscus,Bougainvillia muscus,,,
Bougainvillia superciliaris,Bougainvillia superciliaris,,,
Bougainvillia spp.,Bougainvillia,,,
Bowerbankia gracilis,Bowerbankia gracilis,,,
Brachionus plicatilis,Brachionus plicatilis,,,
Brada sachalina,Brada sachalina,,,
Brada villosa,Brada villosa,,,
Branchellion lobata,Branchellion lobata,,,
Branchiomaldane vincenti,Branchiomaldane vincenti,,,
Brania brevipharyngea,Brania brevipharyngea,,,
Bresslauilla relicta,Bresslauilla relicta,,,
Briarosaccus callosus,Briarosaccus callosus,,,
Brinkmanniella palmata,Brinkmanniella palmata,,,
Brisaster townsendi,Brisaster townsendi,,,
Hymenodiscus exilis,Hymenodiscus exilis,,deep,eop changed genus
Bruzelia tuberculata,Bruzelia tuberculata,,,
Buccinum aleuticum,Buccinum aleuticum,,,deep or rare
Volutopsion castaneum,Volutopsion castaneum,,,eop has diff name; deep or rare
Buccinum diplodetum,Buccinum diplodetum,,,deep or rare
Buccinum glaciale,Buccinum glaciale,,,deep or rare
Buccinum planeticum,Buccinum planeticum,,,deep or rare
Buccinum plectrum,Buccinum plectrum,,,
Buccinum scalariforme,Buccinum scalariforme,,,deep or rare
Buccinum strigillosum,Buccinum strigillosum,,,deep or rare
Bugula californica,Bugula californica,,,
Bugula cucullifera,Bugula cucullifera,,,
Bugula pacifica,Bugula pacifica,,,
Bugula pugeti,Bugula pugeti,,,
Buskia nitens,Buskia nitens,,,
Byblis millsi,Byblis millsi,,,
Byblis veleronis,Byblis veleronis,,,
Bythotiara depressa,Bythotiara depressa,,,
Bythotiara huntsmani,Bythotiara huntsmani,,,
Caberea boryi,Caberea boryi,,,
Caberea ellisii,Caberea ellisii,,,
Cadlina flavomaculata,Cadlina flavomaculata,,,
Cadlina luteomarginata,Cadlina luteomarginata,,,
Cadlina modesta,Cadlina modesta,,,
Gadila aberrans,Gadila aberrans,,,
Cadulus californicus,Cadulus californicus,,,
Cadulus tolmiei,Cadulus tolmiei,,,
Caesaromysis hispida,Caesaromysis hispida,,,
Calastacus stilirostris,Calastacus stilirostris,,,
Calcigorgia spiculifera,Calcigorgia spiculifera,,,
Calinaticina oldroydii,Calinaticina oldroydii,,,
Neotrypaea californiensis,Neotrypaea californiensis,,,
Neotrypaea gigas,Neotrypaea gigas,,,
Callianopsis goniophthalma,Callianopsis goniophthalma,,,
Calliobdella knightjonesi,Calliobdella knightjonesi,,,
Calliopius spp.,Calliopius,,,
Calliostoma annulatum,Calliostoma annulatum,,,
Calliostoma bernardi,Calliostoma bernardi,,,"""very rare"""
Calliostoma canaliculatum,Calliostoma canaliculatum,,,
Calliostoma ligatum,Calliostoma ligatum,,,
Calliostoma platinum,Calliostoma platinum,,,
Calliostoma variegatum,Calliostoma variegatum,,,
Calliotropis carlotta,Calliotropis carlotta,,deep,
Calliotropis ceratophora,Calliotropis ceratophora,,deep,
Callistochiton crassicostatus,Callistochiton crassicostatus,,,
Callogorgia kinoshitae,Callogorgia kinoshitae,,,
Callopora armata,Callopora armata,,,
Callopora circumclathrata,Callopora circumclathrata,,,
Callopora horrida,Callopora horrida,,,
Calocaris investigatoris,Lophaxius investigatoris,,,
Calocarides quinqueseriatus,Calocarides quinqueseriatus,,,
Calycella spp,Calycella spp,,,
Calycopsis nematophora,Calycopsis nematophora,,,
Calyptogena gigas,Calyptogena gigas,,deep,
Phreagena kilmeri,Phreagena kilmeri,,deep,eop different genus
Calyptogena pacifica,Calyptogena pacifica,,deep,
Calyptraea fastigiata,Calyptraea fastigiata,,,
Campanularia rittefi,Campanularia rittefi,,,
Campanularia spp.,Campanularia,,,
Campylaspis,Campylaspis,,,
Campylaspis hartae,Campylaspis hartae,,,
Campylaspis rubromaculata,Campylaspis rubromaculata,,,
Campylaspis rufa,Campylaspis rufa,,,
Campyloderes sp,Campyloderes sp,,,
Cancellaria crawfordiana,Cancellaria crawfordiana,,,
Cancer antennarius,Cancer antennarius,,,
Romaleon branneri,Romaleon branneri,,,
Cancer gracilis,Cancer gracilis,,,
Cancer magister,Cancer magister,,,
Cancer oregonensis,Cancer oregonensis,,,
Cancer productus,Cancer productus,,,
Capheira mollis,Capheira mollis,,deep,
Capitella capitata,Capitella capitata,,,
Caprella alaskana,Caprella alaskana,,,
Caprella augusta,Caprella augusta,,,
Caprella borealis,Caprella borealis,,,
Caprella californica,Caprella californica,,,
Caprella drepanochir,Caprella drepanochir,,,
Caprella equilibra,Caprella equilibra,,,
Caprella ferrea,Caprella ferrea,,,
Caprella gracilior,Caprella gracilior,,,
Caprella greenleyi,Caprella greenleyi,,,
Caprella incisa,Caprella incisa,,,
Caprella irregularis,Caprella irregularis,,,
Caprella laeviuscula,Caprella laeviuscula,,,
Caprella mendax,Caprella mendax,,,
Caprella pilidigitata,Caprella pilidigitata,,,
Caprella pustulata,Caprella pustulata,,,
Caprella rudiuscula,Caprella rudiuscula,,,
Caprella striata,Caprella striata,,,
Caprella ungulina,Caprella ungulina,,,
Caprella verrucosa,Caprella verrucosa,,,
Carcinonemertes epialti,Carcinonemertes epialti,,,
Carcinonemertes errans,Carcinonemertes errans,,,
Cardiomya californica,Cardiomya californica,,,
Cardiomya curta,Cardiomya curta,,deep,
Cardiomya oldroydi,Cardiomya oldroydi,,,
Cardiomya pectinata,Cardiomya pectinata,,,
Cardiomya planetica,Cardiomya planetica,,,
Carenzia inermis,Carenzia inermis,,,
Cargoa vancouverensis,Okenia vancouverensis,,,
Carinaria cristata,Carinaria cristata,,,"pelagic, reported to occur in region"
Carinaria japanica,Carinaria japanica,,,"pelagic, reported to occur in region"
Carinaria lamarcki,Carinaria lamarcki,,,"pelagic, reported to occur in region"
Carinaria latidens,Carinaria latidens,,,"pelagic, reported to occur in region"
Carinoma mutabilis,Carinoma mutabilis,,,
Caryophyllia alaskensis,Caryophyllia alaskensis,,,
Catablema mullicirrata,Catablema mullicirrata,,,
Catablema nodulosa,Catablema nodulosa,,,
Catriona columbiana,Catriona columbiana,,,
Caulibugula californica,Caulibugula californica,,,
Caulibugula ciliata,Caulibugula ciliata,,,
Caulibugula occidentalis,Caulibugula occidentalis,,,
Caulleriella alata,Caulleriella alata,,,
Caulleriella hamata,Caulleriella hamata,,,
Cauloramphus brunea,Cauloramphus brunea,,,
Cauloramphus echinus,Cauloramphus echinus,,,
Cauloramphus spiniferum,Cauloramphus spiniferum,,,
Cavolinia gibbosa,Cavolinia gibbosa,,,
Cavolinia tridentata,Cavolinia tridentata,,,
Cecina manchurica,Cecina manchurica,,,
Cellaria diffusa,Cellaria diffusa,,,
Cellaria mandibulata,Cellaria mandibulata,,,
Cephalothrix pacifica,Cephalothrix pacifica,,,
Ceradocus spinicaudus,Ceradocus spinicaudus,,,
Ceramaster arcticus,Ceramaster arcticus,,,
Ceramaster clarki,Ceramaster clarki,,deep,
Ceramaster japonicus,Ceramaster japonicus,,deep,
Ceramaster patagonicus,Ceramaster patagonicus,,,
Ceraplectana trachyderma,Ceraplectana trachyderma,,,
Ceratocephale loveni,Ceratocephale loveni,,,
Ceratopera axi,Ceratopera axi,,,
Ceratopera pilifera,Ceratopera pilifera,,,
Ceratophysa valvaecristata,Ceratophysa valvaecristata,,deep,
Ceratostoma foliatum,Ceratostoma foliatum,,,
Ocenebra inornata,Ocenebra inornata,,,
Cercops compactus,Cercops compactus,,,
Cerebratulus albifrons,Cerebratulus albifrons,,,
Cerebratulus californiensis,Cerebratulus californiensis,,,
Cerebratulus herculeus,Cerebratulus herculeus,,,
Cerebratulus longiceps,Cerebratulus longiceps,,,
Cerebratulus marginatus,Cerebratulus marginatus,,,
Cerebratulus montgomeryi,Cerebratulus montgomeryi,,,
Cerebratulus occidentalis,Cerebratulus occidentalis,,,
Cerithiopsis columna,Cerithiopsis columna,,,
Cerithiopsis signa,Cerithiopsis signa,,,
Cerithiopsis stejnegeri,Cerithiopsis stejnegeri,,,
Cestoplana sp,Cestoplana sp,,,
Chaetonotus testiculophorus,Chaetonotus testiculophorus,,,
Chaetopleura gemma,Chaetopleura gemma,,,
Chaetopterus variopedatus,Chaetopterus variopedatus,,,
Chaetozone acuta,Chaetozone acuta,,,
Chaetozone setosa,Chaetozone setosa,,,
Chaetozone spinosa,Chaetozone spinosa,,,
Chama arcana,Chama arcana,,,
Chapperiella condylata,Chaperiopsis condylata,,,
Chapperiella patula,Chaperiopsis patula,,,
Chartella membranaceotruncata,Chartella membranaceotruncata,,,
Cheilonereis cyclurus,Cheilonereis cyclurus,,,
Cheilopora praelonga,Cheilopora praelonga,,,
Cheirimedeia macrocarpa subsp. americana,Cheirimedeia macrocarpa americana,,,
Cheirimedeia macrocarpa subsp. similicarpa,Cheirimedeia macrocarpa similicarpa,,,
Cheirimedeia macrocarpa subsp. zotea,Cheirimedeia macrocarpa zotea,,,
Chelophyes appendiculata,Chelophyes appendiculata,,,
Chelura terebrans,Chelura terebrans,,,
Chelysoma columbianum,Chelyosoma columbianum,,,
Chelysoma productum,Chelyosoma productum,,,
Chevroderma whitlatchi,Chevroderma whitlatchi,,,
Childia groenlandica,Childia groenlandica,,,
Chionoecetes angulatus,Chionoecetes angulatus,,,
Chionoecetes bairdi,Chionoecetes bairdi,,,
Chiridota albatrossii,Chiridota albatrossii,,,
Chiridota nanaimensis,Chiridota nanaimensis,,,
Chiroteuthis calyx,Chiroteuthis calyx,,,
Chlamys behringiana,Chlamys behringiana,,,
Chlamys hastata,Chlamys hastata,,,
Chlamys jordani,Chlamys rubida,,,syn from WoRMS
Chlamys rubida,Chlamys rubida,,,
Chloeia entypa,Chloeia entypa,,,
